"listingCard__media-link href","listingCard__photo-index","listingCard__price","listingCard__date","listingCard__title","listingCard__spec-item","listingCard__spec-item 2","listingCard__spec-item 3","listingCard__spec-item 4","listingCard__spec-item 5","listingCard__location","wp-btn-label","he-lazy-image src","he-lazy-image src 2","listingCard__owner-firm"
"https://www.hepsiemlak.com/konya-karatay-kececiler-kiralik/daire/136750-441","1 / 15","28.000","30/07/2026","Karatay Keçeciler De Arakat Kiralık 3+1 Daire","Kiralık Daire","3 + 1","155 m²","10 Yaşında","Ara Kat","Konya / Karatay / Keçeciler Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/konya-selcuklu-erenkoy-kiralik/villa/0-46896172","1 / 32","95.000","07/08/2026","Site İçerisinde Müstakil Tadında","Kiralık Villa","5 + 1","350 m²","5 Yaşında","","Konya / Selçuklu / Erenköy Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/konya-meram-meliksah-kiralik/daire/134113-249","1 / 22","22.000","24/06/2026","Meram Yaka'da Caddeye Cephe 3+1 İçi Yapılı Kiralık Daire","Kiralık Daire","3 + 1","135 m²","26 Yaşında","3. Kat","Konya / Meram / Melikşah Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/konya-selcuklu-kosova-kiralik/daire/57068-444","1 / 35","35.000","12/08/2026","Kosovapark Sitesi 3+1 Net 140m2 Arakat 2 Yaşında Siteiçi","Kiralık Daire","3 + 1","197 m²","2 Yaşında","2. Kat","Konya / Selçuklu / Kosova Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/konya-meram-koycegiz-kiralik/daire/147287-2","1 / 23","35.000","15/07/2026","Eski Meram Tıp Karşısı Eşyalı Kiralık 2+1","Kiralık Daire","2 + 1","110 m²","11 Yaşında","Bahçe Katı","Konya / Meram / Köyceğiz Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/konya-selcuklu-isiklar-kiralik/daire/83501-95","1 / 58","45.000","16/07/2026","Işıklar Mh. Demiryolu Cd. 5+1 Dubleks Kiralık Lüks Daire","Kiralık Daire","5 + 1","220 m²","11 Yaşında","3. Kat","Konya / Selçuklu / Işıklar Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/konya-meram-havzan-kiralik/daire/5115-4121","1 / 10","45.000","15/08/2026","Turyap' Tan Güzel Bahçe Sitesinde 4+1 Salon Kiralık Daire","Kiralık Daire","4 + 1","250 m²","15 Yaşında","3. Kat","Konya / Meram / Havzan Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/konya-selcuklu-bosna-hersek-kiralik/daire/94059-297","1 / 15","23.000","19/08/2026","Kampüs Gayrimenkul'den_forum Kampüs Karşısı Eşyalı 3+1 Kiralık","Kiralık Daire","3 + 1","125 m²","16 Yaşında","4. Kat","Konya / Selçuklu / Bosna Hersek Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/konya-selcuklu-hanaybasi-kiralik/daire/163008-53","1 / 1","16.500","15/08/2026","Saray Caddesinde 100m² 2,5+1 Bodrum Kat Daire Pencereli","Kiralık Daire","2 + 1","101 m²","11 Yaşında","Bodrum","Konya / Selçuklu / Hanaybaşı Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/konya-karatay-akabe-kiralik/daire/122312-469","1 / 25","22.500","17/08/2026","Felix Gayrimenkulden Akabe Mahallesinde Kiralık Eşyalı 1+1","Kiralık Daire","1 + 1","80 m²","5 Yaşında","4. Kat","Konya / Karatay / Akabe Mah.","WhatsApp","","",""
"https://www.hepsiemlak.com/konya-selcuklu-bosna-hersek-kiralik/daire/89673-1879","1 / 31","28.000","08/08/2026","Gökdeniz'den Bosna Hersek'te 3+1 Eşyalı Kiralık Daire","Kiralık Daire","3 + 1","123 m²","16 Yaşında","4. Kat","Konya / Selçuklu / Bosna Hersek Mah.","WhatsApp","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/3/7/6/9/8/0/1e516810-fe53-412e-9f78-cf59ef671e06.jpg","","Gökdeniz Gayrimenkul"
"https://www.hepsiemlak.com/konya-karatay-erenler-kiralik/daire/85706-328","1 / 31","22.000","10/08/2026","Erenlerde Kiralık Daire","Kiralık Daire","3 + 1","135 m²","15 Yaşında","Kot 2","Konya / Karatay / Erenler Mah.","WhatsApp","","",""
"https://www.hepsiemlak.com/konya-selcuklu-beyhekim-kiralik/daire/57222-293","1 / 14","13.000","24/07/2026","Loft Plus'da Cadde-Tramway Cephe 1+0 Ara Kat Eşyasız Daire","Kiralık Daire","Stüdyo","52 m²","11 Yaşında","1. Kat","Konya / Selçuklu / Beyhekim Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Ünlü İnşaat Emlak"
"https://www.hepsiemlak.com/konya-selcuklu-bosna-hersek-kiralik/daire/136750-440","1 / 18","21.500","30/07/2026","Bosna Da Kiralık 3+1 Arakat Daire","Kiralık Daire","3 + 1","160 m²","20 Yaşında","Ara Kat","Konya / Selçuklu / Bosna Hersek Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/konya-selcuklu-beyhekim-kiralik/daire/2168-2352","1 / 22","20.000","15/07/2026","Yazır'da 1+1 Eşyalık Kiralık Stüdyo Daire","Kiralık Daire","1 + 1","75 m²","6 Yaşında","2. Kat","Konya / Selçuklu / Beyhekim Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Uğur Emlak"
"https://www.hepsiemlak.com/konya-selcuklu-bosna-hersek-kiralik/daire/94059-103","1 / 15","23.000","08/07/2026","Kampüs Gayrimenkul'den__ Selçuk Üni. Yakın Ve Forum Kampüs Karşısı Eşyalı 3+1 Daire!!!","Kiralık Daire","3 + 1","125 m²","15 Yaşında","Ara Kat","Konya / Selçuklu / Bosna Hersek Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/konya-selcuklu-aydinlikevler-kiralik/daire/0-47019624","1 / 12","21.000","28/07/2026","Aydınlıkta Kiralık 3+1 Daire","Kiralık Daire","3 + 1","110 m²","35 Yaşında","3. Kat","Konya / Selçuklu / Aydınlıkevler Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/konya-karatay-akabe-kiralik/daire/54575-14","1 / 12","28.500","18/08/2026","Gözde Emlak'tan Kto Karşısı Kiralık 1+1 Full Eşyalı Daire","Kiralık Daire","1 + 1","90 m²","1 Yaşında","3. Kat","Konya / Karatay / Akabe Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/konya-selcuklu-kosova-kiralik/daire/150590-1146","1 / 22","31.000","10/08/2026","Sefergyo Kosova'da Ana Caddeye Yakın Kiralık 3+1 Lüks Daire!!!","Kiralık Daire","3 + 1","130 m²","6 Yaşında","3. Kat","Konya / Selçuklu / Kosova Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Sefer Gayrimenkul"
"https://www.hepsiemlak.com/konya-selcuklu-ihsaniye-kiralik/daire/131749-264","1 / 13","14.000","19/08/2026","Zafer Merkezde 3+1 Daire","Kiralık Daire","3 + 1","135 m²","44 Yaşında","3. Kat","Konya / Selçuklu / İhsaniye Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/konya-selcuklu-beyhekim-kiralik/daire/57222-291","1 / 14","25.000","25/07/2026","Loft Sitesi İstanbul Yolunda Cad.Cephe 1+1 Eşyalı Daire","Kiralık Daire","1 + 1","70 m²","6 Yaşında","1. Kat","Konya / Selçuklu / Beyhekim Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Ünlü İnşaat Emlak"
"https://www.hepsiemlak.com/konya-meram-sahibiata-kiralik/daire/60294-844","1 / 30","18.000","19/08/2026","Zafer Civarı Eşyalı Abonelikleri Açık 2+1 Daire","Kiralık Daire","2 + 1","85 m²","40 Yaşında","En Üst Kat","Konya / Meram / Sahibiata Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/konya-selcuklu-kosova-kiralik/daire/137290-138","1 / 18","21.000","13/08/2026","Kosovada Site İçi Ara Kat Kiralık 1+1 Köşe Daire","Kiralık Daire","1 + 1","75 m²","11 Yaşında","2. Kat","Konya / Selçuklu / Kosova Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Berk Gayrimenkul"
"https://www.hepsiemlak.com/konya-selcuklu-kosova-kiralik/daire/136750-439","1 / 21","22.000","14/08/2026","Sancak Da Kiralık  Geniş 3+1 Daire","Kiralık Daire","3 + 1","165 m²","15 Yaşında","Yüksek Giriş","Konya / Selçuklu / Kosova Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/konya-selcuklu-cumhuriyet-kiralik/daire/132269-186","1 / 20","17.000","30/07/2026","Cumhuriyet Kiralık 3+1 Daire","Kiralık Daire","3 + 1","115 m²","31 Yaşında","2. Kat","Konya / Selçuklu / Cumhuriyet Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/konya-selcuklu-seker-kiralik/daire/96769-757","1 / 34","18.000","26/07/2026","Kiralık Daire Şeker Mah. 3+1 150 M2 Kombili","Kiralık Daire","3 + 1","150 m²","25 Yaşında","2. Kat","Konya / Selçuklu / Şeker Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Enfal Emlak"
"https://www.hepsiemlak.com/konya-selcuklu-aydinlikevler-kiralik/daire/67219-1190","","20.000","09/08/2026","Kent Plaza Yakınında Kiralık","Kiralık Daire","2 + 1","155 m²","26 Yaşında","3. Kat","Konya / Selçuklu / Aydınlıkevler Mah.","WhatsApp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Baran Nur Emlak"
"https://www.hepsiemlak.com/konya-selcuklu-yazir-kiralik/daire/150590-1137","1 / 18","24.000","08/08/2026","Sefergyo İkonya Yanı, İlkokul Karşısı, Eşyalı 1+1 Kiralık Daire","Kiralık Daire","1 + 1","90 m²","21 Yaşında","Çatı Katı","Konya / Selçuklu / Yazır Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Sefer Gayrimenkul"
"https://www.hepsiemlak.com/konya-selcuklu-kosova-kiralik/daire/164312-62","1 / 11","24.000","20/07/2026","Eşyalı Kiralık 2+1","Kiralık Daire","2 + 1","90 m²","6 Yaşında","2. Kat","Konya / Selçuklu / Kosova Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/konya-selcuklu-beyhekim-kiralik/daire/57222-281","1 / 14","19.000","23/07/2026","Loft Class'da Cadde-Tramway Cephe 1+1 Eşyasız Ara Kat Daire","Kiralık Daire","1 + 1","70 m²","11 Yaşında","Ara Kat","Konya / Selçuklu / Beyhekim Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Ünlü İnşaat Emlak"
"https://www.hepsiemlak.com/konya-karatay-akabe-kiralik/daire/125076-364","1 / 24","30.000","25/07/2026","Kulebey! Kto Karşısında Eşyalı 2+1 Stüdyo Daire Kirlalıyor!","Kiralık Daire","2 + 1","105 m²","6 Yaşında","4. Kat","Konya / Karatay / Akabe Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/konya-karatay-istiklal-kiralik/daire/122312-464","1 / 16","32.000","17/08/2026","Felix'den Siteiçi Şehirhastaneyanı Nezih Kiralık Daire","Kiralık Daire","2 + 1","100 m²","Sıfır Bina","2. Kat","Konya / Karatay / İstiklal Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Felıx Gayrimenkul"
"https://www.hepsiemlak.com/konya-selcuklu-hocacihan-kiralik/daire/0-47117499","1 / 7","22.000","13/08/2026","Kiralik 1+1","Kiralık Daire","2 + 1","70 m²","Sıfır Bina","1. Kat","Konya / Selçuklu / Hocacihan Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/konya-selcuklu-parsana-kiralik/daire/93052-368","1 / 29","140.000","13/08/2026","Selçuklu Altınsanpark Konutlarında 5+1 Eşyalı Kiralık Lüks Daire","Kiralık Daire","5 + 1","250 m²","Sıfır Bina","2. Kat","Konya / Selçuklu / Parsana Mah.","WhatsApp","","",""
"https://www.hepsiemlak.com/konya-selcuklu-ferhuniye-kiralik/daire/72388-453","1 / 32","21.000","30/07/2026","Kiralık 2+1 Daire – Ahmet Hilmi Nalçacı Caddesi'nde Merkezi Konum","Kiralık Daire","2 + 0","120 m²","30 Yaşında","7. Kat","Konya / Selçuklu / Ferhuniye Mah.","WhatsApp","","",""
"https://www.hepsiemlak.com/konya-selcuklu-selahaddin-eyyubi-kiralik/daire/150590-1130","1 / 17","31.000","17/08/2026","Sefergyo S.Eyyübi De 2 Yıllık Sıfırıdan Farksız Kiralık Daire","Kiralık Daire","3 + 1","140 m²","2 Yaşında","Yüksek Giriş","Konya / Selçuklu / Selahaddin Eyyubi Mah.","WhatsApp","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/9/5/0/5/1/a9090a68-e0d5-45de-b4c0-5981e3bfb747.jpg","","Sefer Gayrimenkul"
"https://www.hepsiemlak.com/konya-karatay-saracoglu-kiralik/ciftlik-evi/135595-675","1 / 13","30.000","03/08/2026","Saracoglun’da Kiralik 7.000 M2 Arsa Ve Çardak Depo","Kiralık Çiftlik Evi","Stüdyo","1.000 m²","20 Yaşında","","Konya / Karatay / Saraçoğlu Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Cengizler Gayrimenkul"
"https://www.hepsiemlak.com/konya-selcuklu-kosova-kiralik/daire/57222-320","1 / 13","28.000","05/08/2026","Ünlü Loft Sitesi İstanbul Yolunda Cad. Cephe 2+1 Eşyalı Daire","Kiralık Daire","2 + 1","100 m²","6 Yaşında","3. Kat","Konya / Selçuklu / Kosova Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Ünlü İnşaat Emlak"
"https://www.hepsiemlak.com/konya-selcuklu-yazir-kiralik/daire/150590-1129","1 / 35","24.000","20/08/2026","Sefergyo İkonya Tramvay Yanı Arakat Full Eşyalı 2+1 Kiralık!","Kiralık Daire","2 + 1","120 m²","11 Yaşında","1. Kat","Konya / Selçuklu / Yazır Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Sefer Gayrimenkul"
"https://www.hepsiemlak.com/konya-meram-konevi-kiralik/daire/5115-4129","1 / 18","21.000","17/08/2026","Turyap' Tan Mahmuriye De 3+1 Salon Bakımlı Daire","Kiralık Daire","3 + 1","140 m²","20 Yaşında","3. Kat","Konya / Meram / Konevi Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/konya-selcuklu-kilincarslan-kiralik/daire/119637-557","1 / 19","44.500","05/08/2026","Melsa Başodadan Kılıçarslan Mah. Kiralık 3+1 Daire","Kiralık Daire","3 + 1","160 m²","11 Yaşında","5. Kat","Konya / Selçuklu / Kılınçarslan Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/konya-karatay-istiklal-kiralik/daire/122312-465","1 / 11","18.250","17/08/2026","Felix'den Abonelikleriaçık Sıfıreşyalı Kiralık Stüdyo Daire","Kiralık Daire","Stüdyo","30 m²","Sıfır Bina","Zemin","Konya / Karatay / İstiklal Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Felıx Gayrimenkul"
"https://www.hepsiemlak.com/konya-selcuklu-sakarya-kiralik/daire/0-46894545","1 / 3","20.000","07/07/2026","Kiralık Daire 2+1lsalon","Kiralık Daire","2 + 1","100 m²","35 Yaşında","Zemin","Konya / Selçuklu / Sakarya Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/konya-selcuklu-beyhekim-kiralik/daire/57222-301","1 / 13","21.000","19/08/2026","Loft Plus'da Cadde-Tramway Cephe 1+1 Eşyalı Dubleks Daire","Kiralık Daire","1 + 1","70 m²","11 Yaşında","2. Kat","Konya / Selçuklu / Beyhekim Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Ünlü İnşaat Emlak"
