,city,district,neighborhood,room,living_room,area,age,floor,price
0,izmir,konak,kilic_reis,1,1,55,25,1,12000
1,izmir,konak,akin_simav,3,1,150,35,3,16000
4,izmir,karsiyaka,bahcelievler,3,1,160,27,3,18000
5,izmir,konak,kultur,3,1,135,35,3,45000
6,izmir,bornova,kazimdirik,1,1,67,2,4,35000
7,izmir,gaziemir,yesil,3,1,140,25,2,25000
8,izmir,gaziemir,atifbey,3,1,170,15,3,22000
9,izmir,gaziemir,dokuz_eylul,3,1,170,10,2,15000
10,izmir,gaziemir,irmak,3,1,140,20,0,15000
11,izmir,cesme,cumhuriyet,3,1,130,30,2,24000
14,izmir,karabaglar,esenyali,3,1,210,31,0,35000
15,izmir,karsiyaka,bostanli,2,1,89,0,1,30000
16,izmir,seferihisar,colak_ibrahim_bey,3,1,130,5,4,20000
18,izmir,karsiyaka,yali,4,1,200,11,2,60000
19,izmir,karabaglar,umut,3,1,130,26,1,10500
20,izmir,bayrakli,manavkuyu,3,1,140,12,4,25000
22,izmir,selcuk,ataturk,3,1,140,4,1,22000
23,izmir,urla,camlicay,3,1,200,10,2,55000
24,izmir,cigli,kucuk_cigli,2,1,75,6,4,13000
25,izmir,balcova,cetin_emec,3,1,120,22,2,25000
26,izmir,konak,kilic_reis,2,1,75,35,1,10000
27,izmir,selcuk,zafer,3,1,110,11,1,16000
28,izmir,bayrakli,sogukkuyu,3,1,120,26,3,12500
29,izmir,karsiyaka,zubeyde_hanim,2,1,100,27,4,10000
30,izmir,bornova,kazimdirik,1,1,65,6,2,21000
32,izmir,karabaglar,bahcelievler,3,1,160,35,6,30000
33,izmir,karsiyaka,bostanli,3,1,145,26,4,22000
34,izmir,karabaglar,bahcelievler,3,1,115,23,0,13000
35,izmir,bayrakli,emek,3,1,120,29,2,10000
39,izmir,buca,yenigun,3,1,150,26,2,17000
40,izmir,menderes,barbaros,2,1,105,5,2,18000
41,izmir,karabaglar,gulyaka,1,1,50,4,1,11000
42,izmir,bayrakli,manavkuyu,3,1,120,25,4,18000
43,izmir,karabaglar,yasar_kemal,2,1,87,11,5,11000
44,izmir,karabaglar,general_kazim_ozalp,2,1,90,3,2,20000
46,izmir,karabaglar,esenyali,3,1,130,35,2,27500
48,izmir,karsiyaka,goncalar,3,1,145,25,6,22000
49,izmir,bayrakli,mansuroglu,3,1,135,35,1,20000
51,izmir,bayrakli,bayrakli,2,1,85,20,0,25000
52,izmir,balcova,egitim,3,1,130,10,2,23000
54,izmir,bornova,evka_3,3,1,120,33,2,20000
56,izmir,menderes,mithatpasa,3,1,155,8,4,19750
59,izmir,narlidere,limanreis,3,1,140,35,2,50000
61,izmir,konak,mithatpasa,2,1,95,7,1,12000
62,izmir,konak,yesiltepe,3,1,160,30,2,34000
63,izmir,cigli,atasehir,3,1,160,20,5,25000
64,izmir,menderes,cukuralti,4,1,174,18,5,19500
67,izmir,karsiyaka,bahcelievler,3,1,125,32,1,22000
68,izmir,karabaglar,bahcelievler,2,1,95,4,2,20000
69,izmir,menemen,kemal_ataturk,3,1,180,6,2,18000
70,izmir,konak,mehmet_ali_akman,3,1,125,25,2,30000
71,izmir,menemen,29_ekim,3,1,165,6,4,24500
72,izmir,balcova,onur,3,1,170,28,3,20000
73,izmir,karsiyaka,tuna,3,1,100,30,1,25000
75,izmir,balcova,onur,2,1,110,20,1,23000
76,izmir,bayrakli,sogukkuyu,3,1,160,14,6,24000
78,izmir,gaziemir,gazikent,1,1,75,7,2,28000
79,izmir,bornova,erzene,1,1,50,0,1,16000
83,izmir,karabaglar,esentepe,2,1,100,25,5,21000
86,izmir,konak,atilla,2,1,85,20,2,15000
87,izmir,karabaglar,doganay,2,1,97,30,-1,12500
88,izmir,menderes,cuneytbey,3,1,135,8,2,16750
89,izmir,buca,kurucesme,1,1,45,0,2,10000
90,izmir,bornova,kazimdirik,3,1,130,25,2,20000
92,izmir,bornova,evka_3,2,1,80,35,4,15000
93,izmir,cigli,balatcik,1,1,50,8,3,14000
95,izmir,cigli,atasehir,2,1,90,5,5,14000
96,izmir,cigli,balatcik,1,1,60,3,2,16000
97,izmir,karabaglar,doganay,3,1,135,16,5,15000
98,izmir,karsiyaka,bahriye_ucok,3,1,140,25,5,22000
99,izmir,bornova,erzene,3,1,120,30,1,15000
100,izmir,cigli,atasehir,2,1,84,3,5,35000
101,izmir,karabaglar,uckuyular,3,1,120,30,2,19000
102,izmir,karsiyaka,dedebasi,2,1,90,8,1,16000
103,izmir,karsiyaka,imbatli,1,1,42,0,2,15000
104,izmir,buca,firat,2,1,90,0,3,18000
105,izmir,karabaglar,bahcelievler,3,1,130,40,3,21500
108,izmir,karabaglar,tahsin_yazici,1,1,75,11,0,9000
109,izmir,cigli,kucuk_cigli,2,1,85,5,1,14500
110,izmir,narlidere,ilica,3,1,125,31,1,25500
111,izmir,buca,kurucesme,1,1,45,12,1,11000
112,izmir,karabaglar,vatan,3,1,110,14,3,12500
113,izmir,narlidere,camtepe,2,1,120,11,1,35000
114,izmir,bornova,kazimdirik,3,1,165,30,5,20000
116,izmir,karsiyaka,bostanli,3,1,98,40,5,22000
117,izmir,cigli,atasehir,1,1,86,5,4,19500
118,izmir,bornova,kazimdirik,3,1,125,30,5,18500
121,izmir,buca,firat,2,1,90,0,3,17000
123,izmir,konak,kilic_reis,2,1,95,31,3,16000
124,izmir,karsiyaka,semikler,2,1,100,12,1,18500
125,izmir,konak,alsancak,3,1,120,30,5,21000
126,izmir,karabaglar,metin_oktay,3,1,115,22,2,13000
128,izmir,karsiyaka,bostanli,3,1,110,29,4,25000
129,izmir,bornova,doganlar,2,1,100,0,2,20000
130,izmir,karsiyaka,donanmaci,3,1,125,31,4,25000
131,izmir,konak,murat_reis,2,1,95,40,1,20000
133,izmir,karsiyaka,nergiz,3,1,120,35,3,23000
135,izmir,karsiyaka,yali,2,1,120,22,3,20000
137,izmir,urla,torasan,3,1,150,5,1,30000
138,izmir,karsiyaka,alaybey,3,1,100,38,3,20000
139,izmir,konak,kahramanlar,3,1,140,26,3,20000
140,izmir,balcova,egitim,3,1,140,35,1,17000
141,izmir,cigli,balatcik,1,1,60,7,6,16000
142,izmir,karsiyaka,bahariye,2,1,90,33,1,14000
143,izmir,karsiyaka,dedebasi,2,1,85,25,5,15000
144,izmir,odemis,ataturk,1,1,80,25,2,10000
145,izmir,konak,altay,2,1,90,30,0,5000
146,izmir,karabaglar,refet_bele,1,1,70,12,1,10000
147,izmir,karsiyaka,bahariye,3,1,105,31,5,15000
148,izmir,foca,mustafa_kemal_ataturk,2,1,90,0,2,16500
149,izmir,konak,kemal_reis,3,1,125,30,3,20000
150,izmir,buca,camlikule,1,1,55,25,5,10000
151,izmir,bornova,erzene,3,1,130,30,4,15000
154,izmir,balcova,koruturk,1,1,55,16,2,20000
155,izmir,karabaglar,esenyali,2,1,80,31,1,15000
156,izmir,balcova,cetin_emec,2,1,70,35,3,12500
157,izmir,bayrakli,tepekule,3,1,115,19,1,15000
158,izmir,buca,inkilap,2,1,95,35,3,13750
159,izmir,urla,torasan,3,1,150,5,2,20000
160,izmir,bornova,kazimdirik,1,1,51,4,5,22000
161,izmir,karabaglar,basin_sitesi,2,1,100,24,3,16500
162,izmir,karsiyaka,aksoy,2,1,110,31,4,17500
163,izmir,cigli,balatcik,1,1,60,5,1,16000
164,izmir,konak,turgut_reis,2,1,135,35,1,22000
165,izmir,karsiyaka,yali,1,1,55,7,4,25000
166,izmir,urla,gulbahce,1,1,75,11,0,15000
167,izmir,konak,mimar_sinan,3,1,130,40,6,27000
168,izmir,balcova,cetin_emec,2,1,90,27,3,23000
169,izmir,buca,yaylacik,3,1,130,20,3,18000
170,izmir,buca,inkilap,3,1,125,30,3,11500
171,izmir,buca,adatepe,3,1,135,3,3,20000
172,izmir,karsiyaka,tersane,2,1,90,31,3,20000
173,izmir,bayrakli,onur,2,1,97,27,5,14000
174,izmir,karabaglar,uckuyular,2,1,95,35,3,18000
175,izmir,karabaglar,vatan,2,1,73,8,1,17500
178,izmir,karabaglar,bahar,2,1,90,35,1,12000
179,izmir,cigli,koyici,2,1,80,30,1,10000
180,izmir,balcova,onur,2,1,90,26,2,17500
183,izmir,karabaglar,arap_hasan,3,1,120,35,2,15000
185,izmir,konak,piri_reis,2,1,105,30,3,17000
186,izmir,karabaglar,basin_sitesi,3,1,110,40,4,30000
191,izmir,karabaglar,bahcelievler,3,1,125,30,3,14000
192,izmir,karabaglar,bahcelievler,2,1,95,28,3,16500
193,izmir,bornova,mevlana,2,1,85,11,1,18000
194,izmir,balcova,fevzi_cakmak,3,1,132,30,3,20000
195,izmir,karabaglar,uckuyular,3,1,150,30,1,20000
196,izmir,cesme,ciftlik,3,1,200,25,2,60000
197,izmir,buca,ataturk,1,1,55,8,1,11000
198,izmir,narlidere,camtepe,3,1,160,25,6,27500
200,izmir,foca,ataturk,3,1,100,26,3,20000
201,izmir,dikili,ismetpasa,2,1,115,20,2,15000
204,izmir,gaziemir,atifbey,3,1,135,21,2,24000
205,izmir,cigli,aydinlikevler,3,1,120,25,5,18000
206,izmir,bornova,evka_3,3,1,150,23,3,35000
208,izmir,cigli,balatcik,1,1,65,5,3,15750
209,izmir,foca,cumhuriyet,3,1,150,21,0,30000
210,izmir,balcova,koruturk,3,1,135,28,2,23000
211,izmir,karabaglar,esenyali,3,1,130,40,6,25000
212,izmir,karsiyaka,semikler,1,1,65,6,5,18500
215,izmir,menderes,gumuldur_fevzi_cakmak,2,1,85,5,0,15000
216,izmir,odemis,ataturk,3,1,130,16,2,13000
217,izmir,cigli,balatcik,2,1,80,4,3,20000
218,izmir,dikili,candarli,2,1,65,10,2,13000
220,izmir,menemen,30_agustos,3,1,140,18,4,17500
223,izmir,seferihisar,hidirlik,2,1,85,0,5,18000
224,izmir,konak,atilla,3,1,120,30,6,13500
225,izmir,bergama,fatih,2,1,85,0,3,12500
226,izmir,balcova,egitim,2,1,95,21,-2,16000
227,izmir,buca,kozagac,1,1,47,3,1,11000
228,izmir,karsiyaka,bahcelievler,3,1,140,11,3,29000
231,izmir,karsiyaka,fikri_altay,2,1,90,8,3,22000
232,izmir,karabaglar,basin_sitesi,3,1,105,35,5,17000
233,izmir,karabaglar,ali_fuat_cebesoy,4,1,200,1,2,38000
236,izmir,cigli,koyici,2,1,95,15,0,14000
237,izmir,seferihisar,ataturk,3,1,200,0,0,27500
238,izmir,buca,yildiz,2,1,95,15,1,14000
240,izmir,karsiyaka,yali,3,1,130,15,0,20000
241,izmir,karsiyaka,aksoy,3,1,100,30,1,18500
242,izmir,bornova,erzene,1,1,71,0,3,21000
243,izmir,bornova,erzene,3,1,150,19,3,25000
244,izmir,cigli,esentepe,3,1,130,0,5,25000
247,izmir,karsiyaka,imbatli,3,1,120,5,6,19500
248,izmir,bornova,kazimdirik,3,1,120,38,4,20000
249,izmir,seferihisar,hidirlik,3,1,120,15,2,31500
252,izmir,karabaglar,ali_fuat_cebesoy,3,1,90,24,3,9000
253,izmir,guzelbahce,camli,3,1,165,25,2,25000
254,izmir,bayrakli,osmangazi,3,1,125,20,2,12500
255,izmir,karabaglar,selvili,2,1,95,18,0,13000
256,izmir,bornova,yesilova,3,1,145,5,5,25000
257,izmir,bornova,kazimdirik,1,1,45,4,2,27000
258,izmir,dikili,salimbey,2,1,85,10,-2,15000
259,izmir,menderes,kemalpasa,3,1,110,5,3,16000
260,izmir,narlidere,narli,4,1,210,11,4,57500
262,izmir,cigli,esentepe,3,1,150,0,3,25000
263,izmir,urla,ataturk,2,1,100,16,2,28000
264,izmir,karsiyaka,ornekkoy,3,1,140,17,5,13000
267,izmir,cesme,cakabey,4,1,200,3,2,49900
271,izmir,torbali,yedi_eylul,1,1,80,0,3,12500
272,izmir,bornova,mevlana,1,1,60,0,2,18000
273,izmir,bornova,inonu,3,1,125,21,2,16000
274,izmir,karabaglar,vatan,3,1,156,26,0,14500
275,izmir,narlidere,yenikale,2,1,90,15,3,25000
276,izmir,balcova,egitim,3,1,130,10,2,22000
277,izmir,konak,mimar_sinan,3,1,140,30,5,24000
278,izmir,balcova,cetin_emec,3,1,130,22,3,19000
279,izmir,buca,yaylacik,2,1,75,0,3,20000
280,izmir,karabaglar,vatan,3,1,125,28,2,14000
281,izmir,foca,mustafa_kemal_ataturk,2,1,85,4,5,15000
282,izmir,menderes,gorece_cumhuriyet,3,1,130,1,3,30000
283,izmir,menemen,ataturk,1,1,55,2,3,15000
284,izmir,buca,kozagac,3,1,130,5,3,19000
286,izmir,karsiyaka,aksoy,3,1,110,36,4,20000
287,izmir,cigli,ahmet_efendi,3,1,110,6,2,15000
288,izmir,bornova,mevlana,1,1,45,0,3,13500
289,izmir,odemis,zafer,3,1,115,20,2,8500
290,izmir,karabaglar,bahcelievler,3,1,125,30,2,17000
291,izmir,bornova,rafet_pasa,3,1,165,6,4,35000
294,izmir,menemen,inonu,2,1,78,6,2,16500
295,izmir,karsiyaka,bahcelievler,3,1,120,30,1,18000
296,izmir,konak,kilic_reis,2,1,105,30,1,15000
297,izmir,karabaglar,doganay,3,1,135,20,3,15250
298,izmir,seferihisar,hidirlik,3,1,160,15,2,25000
299,izmir,konak,kilic_reis,3,1,200,30,5,16000
301,izmir,bayrakli,muhittin_erener,2,1,80,19,1,7000
302,izmir,urla,ataturk,3,1,140,30,2,35000
303,izmir,karsiyaka,donanmaci,2,1,90,34,1,21500
304,izmir,konak,gunesli,3,1,120,35,3,24000
305,izmir,dikili,ismetpasa,2,1,95,25,3,14000
306,izmir,urla,denizli,3,1,162,2,2,40000
308,izmir,konak,kultur,3,1,185,40,3,35000
309,izmir,balcova,cetin_emec,3,1,190,16,0,30000
310,izmir,karabaglar,maliyeciler,3,1,135,30,1,25000
311,izmir,menemen,kasimpasa,3,1,125,27,0,10000
315,izmir,bornova,mevlana,1,1,60,0,3,18750
316,izmir,dikili,candarli,3,1,100,5,0,13000
317,izmir,karabaglar,doganay,2,1,90,24,4,9000
318,izmir,bornova,evka_3,2,1,90,30,4,13000
319,izmir,karabaglar,metin_oktay,2,1,95,25,4,16000
320,izmir,karabaglar,basin_sitesi,3,1,135,28,3,21000
321,izmir,bornova,kazimdirik,1,1,45,1,5,22500
322,izmir,konak,kultur,2,1,110,26,1,25000
323,izmir,konak,piri_reis,2,1,110,40,2,12500
325,izmir,karsiyaka,mavisehir,3,1,160,5,3,45000
326,izmir,cesme,cumhuriyet,2,1,90,21,0,45000
327,izmir,karsiyaka,bostanli,3,1,130,35,3,28000
328,izmir,konak,kahramanlar,2,1,110,20,2,16000
331,izmir,bornova,mevlana,1,1,45,0,1,15000
334,izmir,urla,gulbahce,2,1,70,6,1,30000
335,izmir,bornova,erzene,1,1,65,5,5,25000
336,izmir,buca,yaylacik,2,1,75,0,3,22000
337,izmir,dikili,gazipasa,3,1,120,25,2,30000
338,izmir,buca,aydogdu,3,1,130,5,4,17500
339,izmir,dikili,salihler,4,1,151,15,2,3500
340,izmir,karabaglar,doganay,3,1,135,25,5,15000
341,izmir,karsiyaka,imbatli,2,1,85,4,1,20000
343,izmir,dikili,salimbey,2,1,90,10,1,15000
345,izmir,karabaglar,bahcelievler,2,1,100,40,4,15000
346,izmir,bayrakli,tepekule,2,1,95,30,1,16500
347,izmir,buca,ataturk,1,1,55,5,1,10000
348,izmir,karsiyaka,bahcelievler,3,1,180,30,5,19000
349,izmir,buca,adatepe,1,1,55,8,2,11000
350,izmir,karsiyaka,nergiz,3,1,110,32,3,17000
351,izmir,karabaglar,calikusu,3,1,120,20,3,12500
352,izmir,kemalpasa,ulucak_mustafa_kemal_ataturk,3,1,120,1,3,20000
353,izmir,gaziemir,dokuz_eylul,1,1,55,5,1,18000
354,izmir,buca,yenigun,3,1,135,5,2,20000
355,izmir,gaziemir,gazi,3,1,140,11,4,28000
356,izmir,bornova,inonu,2,1,120,0,3,25000
357,izmir,bayrakli,cicek,2,1,110,5,3,18000
358,izmir,menemen,inonu,1,1,56,5,1,12500
359,izmir,konak,alsancak,1,1,55,26,4,20000
360,izmir,karabaglar,arap_hasan,3,1,130,36,3,22000
361,izmir,karaburun,mordogan,4,1,130,25,2,45000
362,izmir,bornova,erzene,3,1,145,30,5,22500
363,izmir,buca,kurucesme,1,1,45,0,4,18000
364,izmir,bornova,kazimdirik,2,1,95,30,5,18500
365,izmir,gaziemir,zafer,2,1,70,24,3,12000
366,izmir,karabaglar,bozyaka,2,1,125,5,0,10000
367,izmir,buca,baris,3,1,136,20,2,12000
369,izmir,balcova,onur,3,1,100,26,1,16000
370,izmir,konak,zafertepe,2,1,95,8,3,16500
371,izmir,karsiyaka,yali,3,1,110,30,5,15750
372,izmir,karabaglar,kazim_karabekir,3,1,120,20,1,12500
373,izmir,karabaglar,basin_sitesi,3,1,130,30,0,15000
374,izmir,konak,mimar_sinan,3,1,120,25,1,22000
375,izmir,balcova,egitim,3,1,135,5,3,22500
376,izmir,guzelbahce,mustafa_kemal_pasa,3,1,136,10,0,27000
378,izmir,menderes,golcukler,2,1,95,10,3,16000
380,izmir,menemen,mermerli,3,1,110,25,2,21000
383,izmir,karabaglar,basin_sitesi,3,1,130,35,2,22000
384,izmir,seferihisar,hidirlik,2,1,100,11,2,25000
385,izmir,odemis,hurriyet,3,1,135,20,3,9000
386,izmir,buca,kurucesme,1,1,65,0,1,9000
387,izmir,konak,kilic_reis,2,1,95,35,5,15000
388,izmir,karsiyaka,yali,1,1,55,5,5,21000
389,izmir,seferihisar,colak_ibrahim_bey,4,1,131,0,2,35000
390,izmir,seferihisar,hidirlik,2,1,130,10,4,18000
392,izmir,bornova,mevlana,1,1,48,0,1,16000
394,izmir,buca,goksu,2,1,119,5,3,13000
396,izmir,menemen,irmak,2,1,87,25,1,7000
397,izmir,narlidere,ataturk,3,1,165,25,1,25000
398,izmir,bergama,fatih,3,1,140,11,4,30000
399,izmir,balcova,egitim,2,1,95,25,-2,16000
400,izmir,konak,altintas,3,1,125,40,1,16000
401,izmir,karsiyaka,tersane,3,1,140,30,5,16000
402,izmir,bayrakli,osmangazi,2,1,85,16,0,15000
403,izmir,buca,efeler,2,1,95,25,0,12000
405,izmir,foca,fevzi_cakmak,3,1,120,15,3,25000
406,izmir,karsiyaka,bahariye,2,1,90,30,1,16000
407,izmir,karsiyaka,alaybey,2,1,120,16,2,20500
408,izmir,konak,alsancak,2,1,70,26,4,18500
409,izmir,gaziemir,sevgi,2,1,105,26,3,20000
410,izmir,konak,mimar_sinan,3,1,130,31,4,25000
411,izmir,kemalpasa,ulucak_mustafa_kemal_ataturk,2,1,100,1,3,16000
412,izmir,gaziemir,gazi,3,1,145,11,2,28000
413,izmir,cigli,balatcik,1,1,65,5,3,13500
415,izmir,karsiyaka,tuna,2,1,90,20,0,15000
417,izmir,konak,murat_reis,2,1,100,35,3,14000
418,izmir,gaziemir,zafer,3,1,110,24,3,14000
419,izmir,narlidere,ilica,3,1,125,25,4,18000
421,izmir,konak,kilic_reis,1,1,55,5,0,17000
422,izmir,gaziemir,atifbey,2,1,110,9,3,22000
423,izmir,balcova,fevzi_cakmak,3,1,165,23,3,20000
425,izmir,bayrakli,bayrakli,3,1,120,21,5,45000
426,izmir,karsiyaka,bahcelievler,3,1,125,26,4,17500
428,izmir,urla,gulbahce,2,1,60,26,0,22500
429,izmir,balcova,teleferik,3,1,135,26,1,19750
430,izmir,karabaglar,yurdoglu,3,1,120,30,2,12500
432,izmir,menemen,gazi_mustafa_kemal,1,1,45,0,3,11000
433,izmir,karabaglar,doganay,3,1,130,25,4,15000
435,izmir,torbali,tepekoy,2,1,80,5,3,9000
437,izmir,konak,kahramanlar,1,1,70,28,3,13000
438,izmir,bayrakli,adalet,2,1,95,22,2,10000
439,izmir,bornova,inonu,3,1,120,0,2,20000
440,izmir,gaziemir,yesil,3,1,175,11,3,40000
441,izmir,bayrakli,bayrakli,3,1,125,21,3,21000
442,izmir,karsiyaka,aksoy,3,1,170,21,2,48000
444,izmir,gaziemir,gazi,3,1,160,13,5,28000
445,izmir,odemis,anafartalar,3,1,150,20,4,14000
446,izmir,buca,ataturk,1,1,45,5,1,10000
447,izmir,narlidere,limanreis,3,1,147,4,5,55000
448,izmir,balcova,egitim,1,1,50,0,0,14000
449,izmir,karabaglar,basin_sitesi,3,1,130,26,4,25000
450,izmir,karaburun,merkez,2,1,77,4,1,17000
451,izmir,karsiyaka,imbatli,2,1,75,10,1,14000
452,izmir,seferihisar,camikebir,3,1,150,26,4,20000
453,izmir,buca,efeler,3,1,140,21,3,18000
454,izmir,bergama,fatih,3,1,140,5,3,15000
456,izmir,bornova,kazimdirik,1,1,71,11,2,20000
457,izmir,menderes,gumuldur_fevzi_cakmak,2,1,85,25,2,45000
458,izmir,bornova,yesilova,2,1,85,30,3,15000
462,izmir,buca,adatepe,1,1,55,5,-1,13000
463,izmir,menemen,kasimpasa,2,1,95,30,5,13000
464,izmir,bergama,fatih,2,1,90,0,1,18000
465,izmir,balcova,cetin_emec,2,1,110,5,4,20000
466,izmir,urla,ozbek,3,1,100,31,0,20000
468,izmir,selcuk,zafer,1,1,50,4,4,13000
469,izmir,karabaglar,bahcelievler,3,1,110,35,2,17250
470,izmir,karsiyaka,bahriye_ucok,2,1,115,25,0,15000
471,izmir,karabaglar,bahcelievler,3,1,105,28,2,18500
473,izmir,menemen,villakent,4,1,140,1,0,20000
474,izmir,menemen,ulus,3,1,155,1,4,16000
475,izmir,bornova,inonu,3,1,110,0,1,20000
476,izmir,bayrakli,r_sevket_ince,1,1,70,31,3,13000
477,izmir,buca,ataturk,1,1,55,8,5,12000
478,izmir,karabaglar,ali_fuat_cebesoy,2,1,100,10,3,12000
480,izmir,konak,kilic_reis,2,1,75,40,-1,17000
481,izmir,karsiyaka,bostanli,3,1,160,26,3,48500
482,izmir,seferihisar,colak_ibrahim_bey,3,1,97,0,0,19000
483,izmir,gaziemir,yesil,3,1,135,16,2,20000
484,izmir,odemis,inonu,2,1,130,30,3,13000
485,izmir,karsiyaka,aksoy,3,1,110,28,4,20000
487,izmir,buca,adatepe,1,1,70,8,2,11000
488,izmir,karabaglar,aydin,3,1,95,15,0,15000
490,izmir,narlidere,yenikale,1,1,60,20,3,15000
492,izmir,bayrakli,osmangazi,2,1,100,26,1,13750
493,izmir,balcova,onur,3,1,110,28,3,22500
494,izmir,konak,mithatpasa,2,1,90,6,1,12000
495,izmir,bayrakli,cay,3,1,120,20,2,18000
496,izmir,karsiyaka,yali,3,1,145,7,4,32000
497,izmir,gaziemir,atifbey,2,1,115,12,3,22000
499,izmir,konak,alsancak,3,1,125,35,5,25000
501,izmir,karsiyaka,mavisehir,1,1,90,11,5,30000
502,izmir,urla,iskele,3,1,150,5,3,34000
503,izmir,narlidere,sahilevleri,4,1,161,20,2,35000
504,izmir,karsiyaka,bostanli,2,1,100,0,5,38000
505,izmir,buca,yildiz,3,1,130,16,5,16000
506,izmir,buca,kurucesme,1,1,55,0,4,15000
508,izmir,guzelbahce,maltepe,3,1,130,23,3,35000
509,izmir,menderes,cuneytbey,2,1,90,0,0,25000
510,izmir,karabaglar,arap_hasan,3,1,105,35,1,17500
512,izmir,bornova,kazimdirik,1,1,65,5,3,23000
513,izmir,konak,alsancak,1,1,60,20,3,18000
515,izmir,dikili,kabakum,2,1,120,25,2,25000
516,izmir,bayrakli,sogukkuyu,3,1,120,25,5,17000
517,izmir,gaziemir,sevgi,3,1,130,18,3,25000
518,izmir,menemen,30_agustos,3,1,160,8,3,30000
520,izmir,foca,ilipinar,4,1,200,1,2,55000
521,izmir,cigli,ugur_mumcu,3,1,150,5,2,23000
522,izmir,foca,kazim_dirik,3,1,120,0,0,22000
524,izmir,buca,kozagac,2,1,105,5,3,17000
525,izmir,aliaga,kurtulus,3,1,115,25,1,22500
526,izmir,cigli,ataturk,3,1,120,4,0,18500
528,izmir,karabaglar,yurdoglu,2,1,90,4,1,19000
529,izmir,bergama,maltepe,3,1,145,20,3,16000
531,izmir,bayrakli,fuat_edip_baksi,3,1,120,33,3,20500
532,izmir,karsiyaka,yali,1,1,60,7,3,20000
533,izmir,menemen,zeytinlik,1,1,55,1,1,10000
534,izmir,menemen,85_yil_cumhuriyet,1,1,60,5,2,10000
535,izmir,konak,altintas,2,1,80,40,0,10000
536,izmir,narlidere,ataturk,3,1,206,5,5,53000
537,izmir,konak,halkapinar,2,1,85,0,5,32000
538,izmir,buca,kurucesme,1,1,45,3,3,16000
539,izmir,buca,kurucesme,1,1,55,10,3,12500
541,izmir,narlidere,ataturk,3,1,145,15,3,20000
544,izmir,karabaglar,basin_sitesi,3,1,110,40,1,21000
545,izmir,konak,barbaros,2,1,105,10,3,18000
546,izmir,torbali,yedi_eylul,1,1,65,6,2,12950
547,izmir,seferihisar,turabiye,1,1,65,3,3,13500
550,izmir,selcuk,cumhuriyet,2,1,125,12,1,15000
552,izmir,karabaglar,yasar_kemal,2,1,100,15,0,11500
553,izmir,urla,ataturk,3,1,175,12,2,50000
554,izmir,buca,camlipinar,3,1,145,14,2,25000
555,izmir,karsiyaka,tuna,2,1,100,25,3,12000
556,izmir,buca,yesilbaglar,2,1,95,29,0,12500
557,izmir,gaziemir,sevgi,2,1,93,26,2,22000
558,izmir,gaziemir,fatih,2,1,100,5,2,21500
559,izmir,gaziemir,sevgi,3,1,155,16,2,19000
561,izmir,menderes,cukuralti,3,1,150,11,0,20000
562,izmir,tire,fatih,3,1,135,1,1,18250
563,izmir,menderes,gumuldur_fevzi_cakmak,2,1,75,15,5,13000
565,izmir,cigli,ataturk,3,1,125,0,3,20000
567,izmir,odemis,hurriyet,3,1,150,5,3,16000
568,izmir,konak,cankaya,3,1,130,40,2,16000
569,izmir,konak,murat_reis,3,1,130,40,3,19000
571,izmir,karabaglar,arap_hasan,3,1,145,42,4,25000
572,izmir,foca,yenibagarasi,2,1,80,0,3,14000
573,izmir,bayrakli,75_yil,4,1,183,13,2,22000
575,izmir,foca,kazim_dirik,2,1,150,0,0,15000
576,izmir,torbali,yemislik,3,1,140,2,1,15000
577,izmir,konak,kultur,2,1,115,30,5,35000
578,izmir,odemis,zafer,3,1,160,3,5,18000
579,izmir,torbali,torbali,2,1,105,0,4,22500
582,izmir,karabaglar,bozyaka,2,1,110,30,2,13500
583,izmir,buca,yaylacik,2,1,75,0,5,21000
584,izmir,balcova,fevzi_cakmak,3,1,160,10,1,25000
586,izmir,karsiyaka,yali,3,1,130,0,2,41000
587,izmir,karsiyaka,yali,3,1,130,15,0,20000
589,izmir,karsiyaka,ornekkoy,3,1,130,6,1,25500
591,izmir,guzelbahce,yelki,3,1,160,22,3,19000
593,izmir,cigli,egekent,3,1,135,25,3,13500
594,izmir,cigli,ugur_mumcu,3,1,140,0,2,18000
595,izmir,karabaglar,basin_sitesi,2,1,90,0,1,25000
596,izmir,narlidere,2_inonu,1,1,65,5,3,26900
597,izmir,bayrakli,mansuroglu,3,1,120,35,3,17750
598,izmir,odemis,cumhuriyet,3,1,135,30,5,7000
599,izmir,konak,guzelyali,3,1,130,21,4,25000
600,izmir,karabaglar,uzundere,1,1,65,2,2,13500
602,izmir,balcova,egitim,3,1,140,35,2,15000
603,izmir,buca,guven,2,1,95,5,1,20000
604,izmir,buca,kurucesme,1,1,55,5,1,10000
605,izmir,balcova,onur,3,1,160,20,3,27000
608,izmir,bornova,ataturk,2,1,96,25,3,13000
610,izmir,bergama,fatih,2,1,70,1,5,10000
611,izmir,karsiyaka,dedebasi,2,1,108,13,2,21500
614,izmir,cigli,atasehir,3,1,180,10,4,35000
616,izmir,bornova,kazimdirik,3,1,150,21,6,30000
617,izmir,bornova,erzene,3,1,140,25,1,18000
618,izmir,narlidere,narli,3,1,110,30,1,13000
619,izmir,gaziemir,gazikent,1,1,75,26,4,16000
620,izmir,seferihisar,ataturk,1,1,60,20,0,9000
