,city,district,neighborhood,room,living_room,area,age,floor,price
6624,mugla,fethiye,oludeniz,3,1,220,5,0,30000
6625,mugla,bodrum,farilya,3,1,140,1,2,50000
6626,mugla,bodrum,eskicesme,1,1,60,1,1,36000
6627,mugla,bodrum,gumusluk,3,1,150,11,0,60000
6628,mugla,bodrum,mumcular,1,1,80,1,0,10000
6629,mugla,milas,haciabti,3,1,145,0,3,17000
6630,mugla,marmaris,icmeler,2,1,120,15,1,50000
6633,mugla,bodrum,bahcelievler,1,1,60,30,2,40000
6634,mugla,bodrum,konacik,2,1,70,10,2,35000
6635,mugla,fethiye,pazaryeri,2,1,75,16,5,15000
6636,mugla,bodrum,akyarlar,4,1,150,1,2,55000
6637,mugla,bodrum,geris,2,1,90,10,0,42000
6641,mugla,ortaca,karaburun,1,1,60,0,5,10000
6642,mugla,koycegiz,toparlar,3,1,110,5,2,13000
6643,mugla,bodrum,gumusluk,2,1,100,8,2,50000
6644,mugla,dalaman,karginkuru,1,1,55,0,2,4000
6645,mugla,ortaca,cumhuriyet,3,1,140,3,3,30000
6646,mugla,mentese,kotekli,1,1,50,7,0,9500
6647,mugla,bodrum,turgutreis,1,1,85,15,5,18000
6649,mugla,fethiye,patlangic,3,1,150,0,3,22000
6650,mugla,mentese,orhaniye,3,1,130,7,0,27500
6651,mugla,fethiye,catalarik,2,1,80,20,1,10000
6653,mugla,bodrum,eskicesme,2,1,75,15,0,25000
6654,mugla,ortaca,cumhuriyet,3,1,146,10,2,18000
6656,mugla,ortaca,cumhuriyet,3,1,150,5,3,14000
6657,mugla,ortaca,guzelyurt,3,1,145,18,2,11000
6658,mugla,dalaman,hurriyet,2,1,110,0,1,15000
6660,mugla,dalaman,hurriyet,2,1,95,2,3,13000
6661,mugla,marmaris,hisaronu,2,1,85,16,0,15000
6663,mugla,ortaca,sarigerme,3,1,140,11,0,23000
6664,mugla,milas,ahmet_cavus_hayitli,4,1,170,5,5,30000
6665,mugla,bodrum,bahcelievler,4,1,160,15,2,40000
6666,mugla,dalaman,hurriyet,1,1,70,0,5,7000
6667,mugla,datca,kizlan,1,1,55,5,0,13500
6668,mugla,dalaman,bezkese,1,1,75,0,1,8500
6669,mugla,mentese,kotekli,2,1,74,5,3,12500
6671,mugla,ortaca,fevziye,3,1,220,21,2,35000
6672,mugla,fethiye,foca,2,1,85,5,1,17000
6673,mugla,milas,oren,2,1,125,3,2,25000
6675,mugla,dalaman,merkez,2,1,130,3,3,20000
6676,mugla,bodrum,bahcelievler,4,1,200,15,2,40000
6679,mugla,mentese,bayir,2,1,90,0,1,14000
6680,mugla,milas,ismet_pasa,3,1,125,20,3,14000
6683,mugla,marmaris,armutalan,2,1,70,15,5,30000
6684,mugla,mentese,akcaova,3,1,5,15,1,20000
6685,mugla,marmaris,hatipirimi,1,1,60,16,5,20000
6686,mugla,datca,iskele,2,1,110,15,1,20000
6687,mugla,ortaca,karaburun,1,1,60,0,2,11000
6688,mugla,dalaman,karacali,3,1,185,15,1,14000
6689,mugla,koycegiz,hamitkoy,3,1,150,5,2,15000
6692,mugla,fethiye,ciftlik,3,1,160,1,0,33000
6693,mugla,bodrum,mumcular,1,1,80,1,1,10000
6695,mugla,fethiye,catalarik,2,1,85,5,2,12000
6696,mugla,ula,koprubasi,2,1,95,5,3,16000
6698,mugla,bodrum,turgutreis,2,1,70,11,0,25000
6699,mugla,bodrum,gumbet,1,1,65,0,2,20000
6700,mugla,milas,oren,2,1,60,2,0,13000
6701,mugla,mentese,gulagzi,3,1,110,1,1,25000
6702,mugla,fethiye,yeni,3,1,125,15,5,15000
6703,mugla,datca,iskele,1,1,65,6,0,15000
6704,mugla,bodrum,derekoy,3,1,200,4,0,50000
6705,mugla,fethiye,tasyaka,2,1,110,15,2,18000
6706,mugla,mentese,yenikoy,3,1,140,20,2,22000
6707,mugla,mentese,yesilyurt,3,1,113,16,0,9000
6708,mugla,dalaman,altintas,1,1,55,1,2,8000
6709,mugla,fethiye,yeni,3,1,100,15,1,13000
6710,mugla,bodrum,karaova,3,1,105,1,3,14000
6711,mugla,ortaca,beskopru,3,1,150,5,5,15000
6712,mugla,koycegiz,gelisim,2,1,140,11,0,13500
6715,mugla,marmaris,cildir,3,1,150,25,4,35000
6716,mugla,koycegiz,yangi,2,1,110,0,1,12000
6717,mugla,bodrum,akcaalan,2,1,112,20,0,15000
6718,mugla,dalaman,atakent,1,1,58,1,2,11500
6719,mugla,dalaman,altintas,1,1,70,1,1,7300
6721,mugla,dalaman,karacali,1,1,60,11,0,9500
6722,mugla,bodrum,umurca,1,1,58,0,2,30000
6723,mugla,bodrum,carsi,2,1,80,10,5,25000
6724,mugla,fethiye,inlice,2,1,100,0,2,20000
6725,mugla,bodrum,turgutreis,3,1,150,20,2,40000
6727,mugla,mentese,karamehmet,3,1,160,11,2,23000
6729,mugla,bodrum,yokusbasi,2,1,120,35,2,40000
6730,mugla,bodrum,eskicesme,1,1,60,5,2,32000
6731,mugla,milas,oren,2,1,105,3,1,17000
6733,mugla,koycegiz,zaferler,3,1,110,8,2,20000
6734,mugla,dalaman,ege,3,1,145,15,2,20000
6736,mugla,milas,meselik,3,1,100,15,0,18000
6737,mugla,bodrum,yokusbasi,2,1,90,10,2,32750
6738,mugla,mentese,kotekli,2,1,60,10,3,9000
6739,mugla,datca,datca,2,1,180,21,0,50000
6741,mugla,ortaca,eskikoy,2,1,125,10,2,15000
6742,mugla,dalaman,merkez,2,1,90,0,1,12000
6743,mugla,milas,gulluk,2,1,95,11,0,20000
6745,mugla,mentese,gulagzi,4,1,200,6,2,31000
6749,mugla,mentese,kotekli,2,1,90,5,3,11500
6752,mugla,bodrum,eskicesme,2,1,90,3,2,45000
6753,mugla,marmaris,icmeler,3,1,125,15,2,35000
6755,mugla,milas,haci_ilyas,3,1,125,25,5,10000
6757,mugla,marmaris,kemeralti,3,1,150,16,2,25000
6758,mugla,bodrum,kucukbuk,3,1,140,5,0,40000
6759,mugla,milas,meselik,1,1,43,0,0,12000
6760,mugla,bodrum,turgutreis,3,1,130,10,0,35000
6761,mugla,ula,kizilagac,3,1,120,10,1,16000
6762,mugla,milas,haciabti,2,1,90,1,1,12000
6763,mugla,mentese,akcaova,3,1,135,10,2,15000
6764,mugla,milas,cumhuriyet,2,1,110,10,2,15000
6765,mugla,bodrum,akcaalan,1,1,36,0,1,12500
6766,mugla,dalaman,ege,3,1,125,8,2,13000
6767,mugla,ula,kizilagac,2,1,100,11,0,10000
6769,mugla,marmaris,tepe,3,1,160,5,5,35000
6771,mugla,fethiye,patlangic,4,1,150,15,3,15000
6772,mugla,fethiye,kargi,2,1,80,1,2,3750
6774,mugla,bodrum,carsi,3,1,120,30,2,50000
6776,mugla,dalaman,altintas,2,1,100,1,1,15000
6777,mugla,ortaca,karaburun,3,1,100,3,3,13000
6779,mugla,fethiye,karagozler,2,1,160,11,3,38000
6780,mugla,koycegiz,toparlar,2,1,70,20,2,9000
6783,mugla,bodrum,turkkuyusu,2,1,90,10,2,25000
6784,mugla,marmaris,armutalan,3,1,145,20,2,35000
6785,mugla,mentese,yenikoy,1,1,45,6,5,6000
6786,mugla,koycegiz,gulpinar,4,1,180,2,-2,25000
6789,mugla,bodrum,umurca,2,1,90,20,0,25000
6792,mugla,bodrum,bahcelievler,3,1,105,10,2,25000
6793,mugla,marmaris,cildir,3,1,150,20,4,35000
6794,mugla,fethiye,patlangic,1,1,55,0,1,10000
6796,mugla,milas,firuzpasa_gazipasa,3,1,130,20,3,14000
6797,mugla,mentese,orhaniye,3,1,156,5,2,35000
6799,mugla,dalaman,bezkese,2,1,120,5,3,13000
6801,mugla,fethiye,oludeniz,1,1,60,10,1,10500
6802,mugla,ortaca,eksiliyurt,2,1,121,0,2,13000
6803,mugla,ula,ayazkiyi,2,1,110,18,1,11000
6804,mugla,fethiye,ciftlik,3,1,145,1,3,20000
6805,mugla,marmaris,orhaniye,1,1,50,0,1,12500
6806,mugla,bodrum,cevat_sakir,2,1,85,10,2,25000
6807,mugla,dalaman,hurriyet,1,1,70,10,2,12500
6808,mugla,marmaris,sogut,1,1,55,5,0,25000
6809,mugla,bodrum,akyarlar,2,1,80,15,0,30000
6810,mugla,fethiye,esenkoy,2,1,80,10,2,10000
6811,mugla,bodrum,yokusbasi,2,1,72,11,2,34000
6812,mugla,bodrum,yakakoy,1,1,60,0,0,17500
6814,mugla,marmaris,icmeler,2,1,100,11,2,30000
